iter	Logloss
0	0.6824281028
1	0.6565788031
2	0.6339057215
3	0.6176901102
4	0.5980961623
5	0.5757885156
6	0.5549437711
7	0.537435414
8	0.518921628
9	0.5055874946
10	0.4874315891
11	0.4730392279
12	0.4605477086
13	0.4458068743
14	0.4369930382
15	0.4234557421
16	0.4131341838
17	0.4022225142
18	0.3890804101
19	0.3820579646
20	0.3739625963
21	0.3654815225
22	0.354200577
23	0.3448067627
24	0.3410894539
25	0.332374614
26	0.3261907793
27	0.3120651967
28	0.3045343395
29	0.2957217745
30	0.2897568974
31	0.2850370773
32	0.2790256053
33	0.2751673614
34	0.2723406151
35	0.2695061578
36	0.2632510126
37	0.2565336895
38	0.2508041781
39	0.2441290115
40	0.238311264
41	0.2317950515
42	0.2281305393
43	0.2239359338
44	0.2192600762
45	0.2150302136
46	0.2100076845
47	0.2055605645
48	0.2027914466
49	0.1981550031
50	0.1946740703
51	0.1909531086
52	0.1872155758
53	0.183776365
54	0.1804517054
55	0.1769954105
56	0.175046721
57	0.1721468134
58	0.1681071386
59	0.1663686122
60	0.1629881852
61	0.1603119057
62	0.1561358899
63	0.1534683696
64	0.1495097196
65	0.1468170256
66	0.1443203021
67	0.1423807585
68	0.1401745452
69	0.1379936223
70	0.1365017431
71	0.1336862723
72	0.1299475131
73	0.1279411012
74	0.1258344925
75	0.1240765333
76	0.1222166985
77	0.1200687035
78	0.1181720235
79	0.1168818069
80	0.1154438009
81	0.1139961012
82	0.1115961296
83	0.1099571431
84	0.1073091177
85	0.1061513256
86	0.105026431
87	0.1034832068
88	0.1018684566
89	0.1003851104
90	0.09833056027
91	0.09649249246
92	0.09492525741
93	0.09363542218
94	0.09217795497
95	0.0908747411
96	0.08963360805
97	0.08842224571
98	0.08685876073
99	0.08558706164
100	0.08477748126
101	0.08326584456
102	0.08179914554
103	0.08048538901
104	0.07903657352
105	0.07791207064
106	0.07670162671
107	0.07574476361
108	0.07385804171
109	0.07276316624
110	0.07138978166
111	0.07011660306
112	0.0690308195
113	0.06820497439
114	0.06714365576
115	0.06615709251
116	0.06519280627
117	0.06468602832
118	0.06339759002
119	0.06162916424
120	0.06045309971
121	0.05976982752
122	0.0592049718
123	0.05786308242
124	0.05681065357
125	0.05595082093
126	0.0549973282
127	0.05389437308
128	0.05227566859
129	0.05185719122
130	0.05106329275
131	0.05037974975
132	0.04983871464
133	0.04939266421
134	0.04883154036
135	0.04814234977
136	0.04771889322
137	0.04681758179
138	0.04606273269
139	0.04575109256
140	0.04525190254
141	0.04484721792
142	0.04445596002
143	0.04379257982
144	0.04292402689
145	0.04255058829
146	0.04218792699
147	0.04189376958
148	0.04146527369
149	0.04107209949
150	0.04062826772
151	0.04025967973
152	0.03951309567
153	0.03921227486
154	0.03888131765
155	0.0385769079
156	0.03829654072
157	0.03762860948
158	0.03722341717
159	0.03692133172
160	0.03663440315
161	0.03636891683
162	0.03608702325
163	0.03580735009
164	0.03550895119
165	0.03518329799
166	0.03491908469
167	0.03466800819
168	0.03441621222
169	0.0341909851
170	0.03389240537
171	0.03366133484
172	0.03337623832
173	0.03317631361
174	0.03265626179
175	0.03238989498
176	0.03194232593
177	0.03169090538
178	0.03148658724
179	0.03132450822
180	0.03112077199
181	0.03088828787
182	0.03069616124
183	0.03047665665
184	0.03017989137
185	0.02976207002
186	0.02952356866
187	0.02935004259
188	0.02906279597
189	0.02867635511
190	0.02840280762
191	0.02814356827
192	0.02789000603
193	0.02764193342
194	0.02738694459
195	0.0270619046
196	0.02668815824
197	0.02637058636
198	0.02601300358
199	0.02579663854
