,playlist_name,artist_names,first_genre,enoa_subgenre_matches,top,left,best_playlist_match,best_enoa_match
186,searching for the moon,['Melek Mosso'],turkish alt pop,"['acoustic-indie', 'levant-indie', 'shamanic']",10122,708,"['turkish alt pop', 'arab alternative', 'afrofuturism', 'arab pop', 'lebanese pop', 'brazilian indie', 'brazilian boogie', 'cantautora mexicana', 'arab groove', 'palestinian alternative', 'turkish alternative rock', 'j-acoustic', 'peruvian indie', 'arabesk', 'classic japanese jazz', 'turkish jazz', 'arabic jazz', 'bossa nova', 'danish jazz', 'avant-garde jazz', 'arab folk', 'jazz saxophone', 'samba-jazz', 'cool jazz', 'bebop', 'classical guitar']","['high vibe', 'ecuadorian indie', 'world', 'folklore boliviano', 'nuevo folklore mexicano', 'shamanic']"
189,searching for the moon,['Haya Zaatry'],palestinian alternative,"['afro-jazz', 'brazilian-funk', 'classic-soul', 'neo-funk', 'shamanic']",11994,799,"['palestinian alternative', 'j-acoustic', 'arab groove', 'brazilian boogie', 'lebanese pop', 'afrofuturism', 'arab alternative', 'arabesk', 'turkish alt pop', 'arab pop', 'brazilian indie', 'cantautora mexicana', 'classic japanese jazz', 'turkish jazz', 'arabic jazz', 'turkish alternative rock', 'peruvian indie', 'bossa nova', 'danish jazz', 'avant-garde jazz', 'arab folk', 'jazz saxophone', 'samba-jazz', 'cool jazz', 'bebop', 'classical guitar']","['high vibe', 'world', 'folklore boliviano', 'nuevo folklore mexicano', 'shamanic', 'ecuadorian indie']"
190,searching for the moon,['La Lá'],peruvian indie,"['acoustic-indie', 'latin-pop']",7781,713,"['peruvian indie', 'turkish alternative rock', 'cantautora mexicana', 'brazilian indie', 'arab pop', 'turkish alt pop', 'arab alternative', 'afrofuturism', 'lebanese pop', 'brazilian boogie', 'arab groove', 'palestinian alternative', 'j-acoustic', 'arabesk', 'classic japanese jazz', 'turkish jazz', 'arabic jazz', 'bossa nova', 'danish jazz', 'avant-garde jazz', 'arab folk', 'jazz saxophone', 'samba-jazz', 'cool jazz', 'bebop', 'classical guitar']","['spanish pop', 'latin arena pop', 'latin pop', 'pop flamenco']"
192,searching for the moon,['Melike Şahin'],turkish alt pop,"['acoustic-indie', 'levant-indie', 'shamanic']",10122,708,"['turkish alt pop', 'arab alternative', 'afrofuturism', 'arab pop', 'lebanese pop', 'brazilian indie', 'brazilian boogie', 'cantautora mexicana', 'arab groove', 'palestinian alternative', 'turkish alternative rock', 'j-acoustic', 'peruvian indie', 'arabesk', 'classic japanese jazz', 'turkish jazz', 'arabic jazz', 'bossa nova', 'danish jazz', 'avant-garde jazz', 'arab folk', 'jazz saxophone', 'samba-jazz', 'cool jazz', 'bebop', 'classical guitar']","['high vibe', 'ecuadorian indie', 'world', 'folklore boliviano', 'nuevo folklore mexicano', 'shamanic']"
242,searching for the moon,['Büyük Ev Ablukada'],turkish alternative rock,"['acoustic-indie', 'alt-rock', 'indie-pop', 'new-wave']",8149,490,"['turkish alternative rock', 'peruvian indie', 'cantautora mexicana', 'brazilian indie', 'arab pop', 'turkish alt pop', 'arab alternative', 'afrofuturism', 'lebanese pop', 'brazilian boogie', 'arab groove', 'palestinian alternative', 'j-acoustic', 'arabesk', 'classic japanese jazz', 'turkish jazz', 'arabic jazz', 'bossa nova', 'danish jazz', 'avant-garde jazz', 'arab folk', 'jazz saxophone', 'samba-jazz', 'cool jazz', 'bebop', 'classical guitar']","['madchester', 'new wave', 'new romantic', 'art rock']"
248,champagne problems,"['Dante', 'ADIAM', 'HNNY']",uppsala indie,"['acoustic-indie', 'alt-rock', 'indie-pop', 'new-wave']",7311,477,"['uppsala indie', 'uk alternative pop', 'indie soul', 'instrumental hip hop', 'ambient idm', 'ecuadorian indie', 'swiss indie', 'glitch beats', 'cantautora mexicana', 'electra', 'art pop', 'synth funk', 'downtempo', 'nu-cumbia', 'indie rock', 'electronica', 'latintronica', 'canadian latin', 'chill beats', 'chillhop', 'bboy', 'high vibe', 'alternative dance', 'balearic', 'organic electronic', 'german techno', 'ethnotronica', 'folklore boliviano', 'deep house', 'deep euro house', 'ethio-jazz', 'nuevo folklore mexicano', 'minimal tech house', 'organic house', 'deep disco house', 'british singer-songwriter', 'shamanic', 'fourth world', 'british jazz', 'deep free jazz', 'samba-jazz', 'neo-classical']","['madchester', 'new wave', 'new romantic', 'art rock']"
249,champagne problems,['Audio Dope'],swiss indie,"['acoustic-indie', 'latin-pop', 'shamanic']",8224,703,"['swiss indie', 'ecuadorian indie', 'ambient idm', 'uk alternative pop', 'uppsala indie', 'cantautora mexicana', 'indie soul', 'art pop', 'instrumental hip hop', 'indie rock', 'glitch beats', 'chillhop', 'electra', 'synth funk', 'downtempo', 'nu-cumbia', 'high vibe', 'electronica', 'latintronica', 'canadian latin', 'chill beats', 'bboy', 'folklore boliviano', 'alternative dance', 'ethio-jazz', 'nuevo folklore mexicano', 'balearic', 'organic electronic', 'german techno', 'british singer-songwriter', 'ethnotronica', 'shamanic', 'deep house', 'deep euro house', 'minimal tech house', 'organic house', 'deep disco house', 'fourth world', 'british jazz', 'deep free jazz', 'samba-jazz', 'neo-classical']","['ecuadorian indie', 'high vibe', 'world', 'folklore boliviano', 'nuevo folklore mexicano', 'shamanic']"
252,champagne problems,"[""Mo' Horizons""]",bboy,"['bachata', 'ethnotronica', 'house', 'nu-disco', 'reggaeton']",3244,1094,"['bboy', 'alternative dance', 'chill beats', 'canadian latin', 'balearic', 'latintronica', 'electronica', 'organic electronic', 'nu-cumbia', 'downtempo', 'german techno', 'ethnotronica', 'synth funk', 'electra', 'deep house', 'deep euro house', 'glitch beats', 'minimal tech house', 'organic house', 'deep disco house', 'instrumental hip hop', 'indie soul', 'uppsala indie', 'uk alternative pop', 'ambient idm', 'ecuadorian indie', 'swiss indie', 'cantautora mexicana', 'art pop', 'indie rock', 'chillhop', 'high vibe', 'folklore boliviano', 'ethio-jazz', 'nuevo folklore mexicano', 'british singer-songwriter', 'shamanic', 'fourth world', 'british jazz', 'deep free jazz', 'samba-jazz', 'neo-classical']","['latin hip hop', 'reggaeton', 'colombian pop', 'reggaeton flow', 'flamenco urbano']"
257,champagne problems,['Roberto Musci'],deep free jazz,"['levant-jazz', 'post-punk']",18732,659,"['deep free jazz', 'samba-jazz', 'british jazz', 'neo-classical', 'fourth world', 'shamanic', 'british singer-songwriter', 'nuevo folklore mexicano', 'ethio-jazz', 'folklore boliviano', 'high vibe', 'chillhop', 'indie rock', 'art pop', 'cantautora mexicana', 'swiss indie', 'ecuadorian indie', 'ambient idm', 'uk alternative pop', 'uppsala indie', 'indie soul', 'instrumental hip hop', 'glitch beats', 'electra', 'synth funk', 'nu-cumbia', 'downtempo', 'electronica', 'latintronica', 'canadian latin', 'chill beats', 'bboy', 'alternative dance', 'balearic', 'organic electronic', 'german techno', 'ethnotronica', 'deep house', 'deep euro house', 'minimal tech house', 'organic house', 'deep disco house']","['classic soundtrack', 'vintage italian soundtrack', 'library music', 'vintage french psychedelic']"
262,champagne problems,['Mariah'],fourth world,"['acoustic-folk', 'ambient', 'post-punk']",16248,386,"['fourth world', 'british jazz', 'shamanic', 'british singer-songwriter', 'nuevo folklore mexicano', 'deep free jazz', 'ethio-jazz', 'samba-jazz', 'folklore boliviano', 'high vibe', 'neo-classical', 'chillhop', 'indie rock', 'art pop', 'cantautora mexicana', 'swiss indie', 'ecuadorian indie', 'ambient idm', 'uk alternative pop', 'uppsala indie', 'indie soul', 'instrumental hip hop', 'glitch beats', 'electra', 'synth funk', 'downtempo', 'nu-cumbia', 'electronica', 'latintronica', 'canadian latin', 'chill beats', 'bboy', 'alternative dance', 'balearic', 'organic electronic', 'german techno', 'ethnotronica', 'deep house', 'deep euro house', 'minimal tech house', 'organic house', 'deep disco house']","['library music', 'vintage italian soundtrack', 'vintage french psychedelic', 'classic soundtrack']"
