,playlist_name,artist_names,first_genre,enoa_subgenre_matches,top,left,best_playlist_match,best_enoa_match
391,pajarito del amor,['Y La Bamba'],latinx alternative,"['bachata', 'electronica', 'latin-pop', 'neo-funk']",7470,849,"['latinx alternative', 'indie soul', 'brazilian rock', 'bachata', 'swiss indie', 'musica popular paraense', 'turkish alternative', 'cantautora mexicana', 'glitch beats', 'art pop', 'alternative rock', 'shimmer pop', 'electronica', 'popping', 'album rock', 'forro tradicional', 'brazilian boogie', 'chillhop', 'bristol indie', 'bboy', 'j-acoustic', 'morna', 'acoustic pop', 'british invasion', 'musica goiana', 'southern soul', 'classic rock', 'raga rock', 'deep house', 'deep euro house', 'indie folk', 'experimental', 'pop folk', 'british singer-songwriter', 'chicago soul', 'turkish jazz', 'fourth world', 'british jazz', 'british folk', 'bossa nova', 'instrumental acoustic guitar', 'samba-jazz', 'compositional ambient', 'neo-classical', 'classical guitar']","['latin funk', 'indie soul', 'deep funk', 'funk', 'afro soul', 'psychedelic soul', 'rare groove', 'afrobeat', 'instrumental funk', 'brass band', 'jazz funk']"
424,acid blues,['Dojo Cuts'],bboy,"['bachata', 'ethnotronica', 'house', 'nu-disco', 'reggaeton']",3244,1094,"['bboy', 'dance pop', 'greek downtempo', 'lo-fi house', 'bleep techno', 'jazz boom bap', 'downtempo', 'deep house', 'glitch beats', 'vapor twitch', 'ambeat', 'instrumental hip hop', 'indie soul', 'ambient idm', 'swiss indie', 'australian reggae fusion', 'charlotte nc indie', 'instrumental math rock', 'indie rock', 'neo-psychedelic', 'chillhop', 'psychedelic soul', 'alternative hip hop', 'instrumental stoner rock', 'lo-fi study', 'afrobeat', 'lo-fi beats', 'lo-fi sleep', 'brass band', 'classic japanese jazz', 'library music', 'fourth world', 'british jazz', 'neo-classical']","['latin hip hop', 'reggaeton', 'colombian pop', 'reggaeton flow', 'flamenco urbano']"
428,acid blues,['Nightmares On Wax'],bleep techno,"['ethnotronica', 'house', 'nu-disco']",2611,1075,"['bleep techno', 'lo-fi house', 'bboy', 'dance pop', 'greek downtempo', 'deep house', 'jazz boom bap', 'downtempo', 'glitch beats', 'vapor twitch', 'ambeat', 'instrumental hip hop', 'indie soul', 'ambient idm', 'swiss indie', 'australian reggae fusion', 'charlotte nc indie', 'instrumental math rock', 'indie rock', 'neo-psychedelic', 'chillhop', 'psychedelic soul', 'alternative hip hop', 'instrumental stoner rock', 'lo-fi study', 'afrobeat', 'lo-fi beats', 'lo-fi sleep', 'brass band', 'classic japanese jazz', 'library music', 'fourth world', 'british jazz', 'neo-classical']","['balearic', 'nu disco', 'dark disco', 'synth funk']"
441,acid blues,['Hardkandy'],bboy,"['bachata', 'ethnotronica', 'house', 'nu-disco', 'reggaeton']",3244,1094,"['bboy', 'dance pop', 'greek downtempo', 'lo-fi house', 'bleep techno', 'jazz boom bap', 'downtempo', 'deep house', 'glitch beats', 'vapor twitch', 'ambeat', 'instrumental hip hop', 'indie soul', 'ambient idm', 'swiss indie', 'australian reggae fusion', 'charlotte nc indie', 'instrumental math rock', 'indie rock', 'neo-psychedelic', 'chillhop', 'psychedelic soul', 'alternative hip hop', 'instrumental stoner rock', 'lo-fi study', 'afrobeat', 'lo-fi beats', 'lo-fi sleep', 'brass band', 'classic japanese jazz', 'library music', 'fourth world', 'british jazz', 'neo-classical']","['latin hip hop', 'reggaeton', 'colombian pop', 'reggaeton flow', 'flamenco urbano']"
451,acid blues,['Nightmares On Wax'],bleep techno,"['ethnotronica', 'house', 'nu-disco']",2611,1075,"['bleep techno', 'lo-fi house', 'bboy', 'dance pop', 'greek downtempo', 'deep house', 'jazz boom bap', 'downtempo', 'glitch beats', 'vapor twitch', 'ambeat', 'instrumental hip hop', 'indie soul', 'ambient idm', 'swiss indie', 'australian reggae fusion', 'charlotte nc indie', 'instrumental math rock', 'indie rock', 'neo-psychedelic', 'chillhop', 'psychedelic soul', 'alternative hip hop', 'instrumental stoner rock', 'lo-fi study', 'afrobeat', 'lo-fi beats', 'lo-fi sleep', 'brass band', 'classic japanese jazz', 'library music', 'fourth world', 'british jazz', 'neo-classical']","['balearic', 'nu disco', 'dark disco', 'synth funk']"
460,acid blues,['upper class'],lo-fi house,"['ethnotronica', 'house', 'nu-disco']",2703,1139,"['lo-fi house', 'bleep techno', 'bboy', 'dance pop', 'greek downtempo', 'deep house', 'jazz boom bap', 'downtempo', 'glitch beats', 'vapor twitch', 'ambeat', 'instrumental hip hop', 'indie soul', 'ambient idm', 'swiss indie', 'australian reggae fusion', 'charlotte nc indie', 'instrumental math rock', 'indie rock', 'neo-psychedelic', 'chillhop', 'psychedelic soul', 'alternative hip hop', 'instrumental stoner rock', 'lo-fi study', 'afrobeat', 'lo-fi beats', 'lo-fi sleep', 'brass band', 'classic japanese jazz', 'library music', 'fourth world', 'british jazz', 'neo-classical']","['balearic', 'nu disco', 'dark disco', 'synth funk']"
469,acid blues,"['Henace', 'Uwe']",jazz boom bap,"['bachata', 'ethnotronica', 'house', 'nu-disco', 'reggaeton']",4454,1130,"['jazz boom bap', 'downtempo', 'greek downtempo', 'dance pop', 'bboy', 'glitch beats', 'vapor twitch', 'lo-fi house', 'bleep techno', 'ambeat', 'instrumental hip hop', 'indie soul', 'deep house', 'ambient idm', 'swiss indie', 'australian reggae fusion', 'charlotte nc indie', 'instrumental math rock', 'indie rock', 'neo-psychedelic', 'chillhop', 'psychedelic soul', 'alternative hip hop', 'instrumental stoner rock', 'lo-fi study', 'afrobeat', 'lo-fi beats', 'lo-fi sleep', 'brass band', 'classic japanese jazz', 'library music', 'fourth world', 'british jazz', 'neo-classical']","['colombian pop', 'reggaeton flow', 'latin hip hop', 'reggaeton', 'flamenco urbano']"
473,acid blues,['Suzanne Kraft'],fourth world,"['acoustic-folk', 'ambient', 'post-punk']",16248,386,"['fourth world', 'british jazz', 'library music', 'classic japanese jazz', 'brass band', 'lo-fi sleep', 'lo-fi beats', 'afrobeat', 'lo-fi study', 'neo-classical', 'instrumental stoner rock', 'alternative hip hop', 'psychedelic soul', 'chillhop', 'neo-psychedelic', 'indie rock', 'instrumental math rock', 'charlotte nc indie', 'australian reggae fusion', 'swiss indie', 'ambient idm', 'indie soul', 'instrumental hip hop', 'ambeat', 'vapor twitch', 'glitch beats', 'downtempo', 'jazz boom bap', 'greek downtempo', 'dance pop', 'bboy', 'lo-fi house', 'bleep techno', 'deep house']","['library music', 'vintage italian soundtrack', 'vintage french psychedelic', 'classic soundtrack']"
477,acid blues,['Audio Dope'],swiss indie,"['acoustic-indie', 'latin-pop', 'shamanic']",8224,703,"['swiss indie', 'ambient idm', 'australian reggae fusion', 'indie soul', 'charlotte nc indie', 'instrumental hip hop', 'instrumental math rock', 'indie rock', 'ambeat', 'vapor twitch', 'neo-psychedelic', 'glitch beats', 'chillhop', 'psychedelic soul', 'alternative hip hop', 'instrumental stoner rock', 'downtempo', 'lo-fi study', 'jazz boom bap', 'greek downtempo', 'dance pop', 'afrobeat', 'bboy', 'lo-fi beats', 'lo-fi house', 'bleep techno', 'lo-fi sleep', 'brass band', 'classic japanese jazz', 'deep house', 'library music', 'fourth world', 'british jazz', 'neo-classical']","['ecuadorian indie', 'high vibe', 'world', 'folklore boliviano', 'nuevo folklore mexicano', 'shamanic']"
480,acid blues,['Desmond Cheese'],australian reggae fusion,"['brazilian-funk', 'latin-pop', 'neo-funk', 'shamanic']",9039,832,"['australian reggae fusion', 'charlotte nc indie', 'swiss indie', 'ambient idm', 'instrumental math rock', 'indie rock', 'neo-psychedelic', 'indie soul', 'chillhop', 'psychedelic soul', 'alternative hip hop', 'instrumental hip hop', 'instrumental stoner rock', 'ambeat', 'lo-fi study', 'vapor twitch', 'glitch beats', 'afrobeat', 'downtempo', 'lo-fi beats', 'jazz boom bap', 'lo-fi sleep', 'greek downtempo', 'dance pop', 'brass band', 'bboy', 'classic japanese jazz', 'lo-fi house', 'bleep techno', 'library music', 'fourth world', 'british jazz', 'deep house', 'neo-classical']","['ecuadorian indie', 'high vibe', 'world', 'folklore boliviano', 'nuevo folklore mexicano', 'shamanic']"
483,acid blues,['IHF'],vapor twitch,"['bachata', 'downtempo', 'electronica', 'neo-funk']",5855,828,"['vapor twitch', 'glitch beats', 'ambeat', 'instrumental hip hop', 'downtempo', 'indie soul', 'jazz boom bap', 'greek downtempo', 'ambient idm', 'swiss indie', 'dance pop', 'bboy', 'lo-fi house', 'australian reggae fusion', 'bleep techno', 'charlotte nc indie', 'instrumental math rock', 'indie rock', 'deep house', 'neo-psychedelic', 'chillhop', 'psychedelic soul', 'alternative hip hop', 'instrumental stoner rock', 'lo-fi study', 'afrobeat', 'lo-fi beats', 'lo-fi sleep', 'brass band', 'classic japanese jazz', 'library music', 'fourth world', 'british jazz', 'neo-classical']","['afro soul', 'indie soul', 'latin funk', 'deep funk', 'funk', 'psychedelic soul', 'rare groove', 'afrobeat', 'instrumental funk', 'brass band', 'jazz funk']"
494,acid blues,['Guts'],bboy,"['bachata', 'ethnotronica', 'house', 'nu-disco', 'reggaeton']",3244,1094,"['bboy', 'dance pop', 'greek downtempo', 'lo-fi house', 'bleep techno', 'jazz boom bap', 'downtempo', 'deep house', 'glitch beats', 'vapor twitch', 'ambeat', 'instrumental hip hop', 'indie soul', 'ambient idm', 'swiss indie', 'australian reggae fusion', 'charlotte nc indie', 'instrumental math rock', 'indie rock', 'neo-psychedelic', 'chillhop', 'psychedelic soul', 'alternative hip hop', 'instrumental stoner rock', 'lo-fi study', 'afrobeat', 'lo-fi beats', 'lo-fi sleep', 'brass band', 'classic japanese jazz', 'library music', 'fourth world', 'british jazz', 'neo-classical']","['latin hip hop', 'reggaeton', 'colombian pop', 'reggaeton flow', 'flamenco urbano']"
498,acid blues,['Oddisee'],alternative hip hop,"['lo-fi', 'neo-funk']",11265,977,"['alternative hip hop', 'psychedelic soul', 'chillhop', 'lo-fi study', 'instrumental stoner rock', 'neo-psychedelic', 'indie rock', 'instrumental math rock', 'charlotte nc indie', 'afrobeat', 'lo-fi beats', 'australian reggae fusion', 'swiss indie', 'lo-fi sleep', 'ambient idm', 'brass band', 'classic japanese jazz', 'indie soul', 'instrumental hip hop', 'library music', 'ambeat', 'fourth world', 'british jazz', 'vapor twitch', 'glitch beats', 'downtempo', 'jazz boom bap', 'greek downtempo', 'dance pop', 'bboy', 'lo-fi house', 'bleep techno', 'neo-classical', 'deep house']","['rare groove', 'psychedelic soul', 'funk', 'afrobeat', 'deep funk', 'instrumental funk', 'brass band', 'jazz funk', 'latin funk', 'indie soul', 'afro soul']"
507,acid blues,"['Krynoze', 'Hoogway']",lo-fi sleep,"['brazilian-funk', 'classic-soul', 'neo-funk', 'shamanic']",14333,832,"['lo-fi sleep', 'brass band', 'classic japanese jazz', 'lo-fi beats', 'afrobeat', 'library music', 'fourth world', 'british jazz', 'lo-fi study', 'instrumental stoner rock', 'alternative hip hop', 'psychedelic soul', 'chillhop', 'neo-psychedelic', 'indie rock', 'instrumental math rock', 'charlotte nc indie', 'australian reggae fusion', 'swiss indie', 'ambient idm', 'neo-classical', 'indie soul', 'instrumental hip hop', 'ambeat', 'vapor twitch', 'glitch beats', 'downtempo', 'jazz boom bap', 'greek downtempo', 'dance pop', 'bboy', 'lo-fi house', 'bleep techno', 'deep house']","['nuevo folklore mexicano', 'shamanic', 'folklore boliviano', 'world', 'high vibe', 'ecuadorian indie']"
508,acid blues,['Arms and Sleepers'],ambient idm,"['acoustic-indie', 'new-wave']",8162,633,"['ambient idm', 'swiss indie', 'australian reggae fusion', 'indie soul', 'instrumental hip hop', 'charlotte nc indie', 'instrumental math rock', 'indie rock', 'ambeat', 'vapor twitch', 'neo-psychedelic', 'glitch beats', 'chillhop', 'psychedelic soul', 'alternative hip hop', 'downtempo', 'instrumental stoner rock', 'lo-fi study', 'jazz boom bap', 'greek downtempo', 'dance pop', 'afrobeat', 'bboy', 'lo-fi beats', 'lo-fi house', 'bleep techno', 'lo-fi sleep', 'brass band', 'classic japanese jazz', 'deep house', 'library music', 'fourth world', 'british jazz', 'neo-classical']","['madchester', 'new wave', 'new romantic', 'art rock']"
513,acid blues,"['Tibeauthetraveler', 'So.Lo']",lo-fi sleep,"['brazilian-funk', 'classic-soul', 'neo-funk', 'shamanic']",14333,832,"['lo-fi sleep', 'brass band', 'classic japanese jazz', 'lo-fi beats', 'afrobeat', 'library music', 'fourth world', 'british jazz', 'lo-fi study', 'instrumental stoner rock', 'alternative hip hop', 'psychedelic soul', 'chillhop', 'neo-psychedelic', 'indie rock', 'instrumental math rock', 'charlotte nc indie', 'australian reggae fusion', 'swiss indie', 'ambient idm', 'neo-classical', 'indie soul', 'instrumental hip hop', 'ambeat', 'vapor twitch', 'glitch beats', 'downtempo', 'jazz boom bap', 'greek downtempo', 'dance pop', 'bboy', 'lo-fi house', 'bleep techno', 'deep house']","['nuevo folklore mexicano', 'shamanic', 'folklore boliviano', 'world', 'high vibe', 'ecuadorian indie']"
514,acid blues,"['Krynoze', 'fnonose', '96 Zeus']",lo-fi sleep,"['brazilian-funk', 'classic-soul', 'neo-funk', 'shamanic']",14333,832,"['lo-fi sleep', 'brass band', 'classic japanese jazz', 'lo-fi beats', 'afrobeat', 'library music', 'fourth world', 'british jazz', 'lo-fi study', 'instrumental stoner rock', 'alternative hip hop', 'psychedelic soul', 'chillhop', 'neo-psychedelic', 'indie rock', 'instrumental math rock', 'charlotte nc indie', 'australian reggae fusion', 'swiss indie', 'ambient idm', 'neo-classical', 'indie soul', 'instrumental hip hop', 'ambeat', 'vapor twitch', 'glitch beats', 'downtempo', 'jazz boom bap', 'greek downtempo', 'dance pop', 'bboy', 'lo-fi house', 'bleep techno', 'deep house']","['nuevo folklore mexicano', 'shamanic', 'folklore boliviano', 'world', 'high vibe', 'ecuadorian indie']"
516,acid blues,['Arms and Sleepers'],ambient idm,"['acoustic-indie', 'new-wave']",8162,633,"['ambient idm', 'swiss indie', 'australian reggae fusion', 'indie soul', 'instrumental hip hop', 'charlotte nc indie', 'instrumental math rock', 'indie rock', 'ambeat', 'vapor twitch', 'neo-psychedelic', 'glitch beats', 'chillhop', 'psychedelic soul', 'alternative hip hop', 'downtempo', 'instrumental stoner rock', 'lo-fi study', 'jazz boom bap', 'greek downtempo', 'dance pop', 'afrobeat', 'bboy', 'lo-fi beats', 'lo-fi house', 'bleep techno', 'lo-fi sleep', 'brass band', 'classic japanese jazz', 'deep house', 'library music', 'fourth world', 'british jazz', 'neo-classical']","['madchester', 'new wave', 'new romantic', 'art rock']"
518,acid blues,"['Major Lazer', 'Ezra Koenig']",dance pop,['bachata'],3478,862,"['dance pop', 'greek downtempo', 'bboy', 'lo-fi house', 'bleep techno', 'jazz boom bap', 'downtempo', 'glitch beats', 'vapor twitch', 'deep house', 'ambeat', 'instrumental hip hop', 'indie soul', 'ambient idm', 'swiss indie', 'australian reggae fusion', 'charlotte nc indie', 'instrumental math rock', 'indie rock', 'neo-psychedelic', 'chillhop', 'psychedelic soul', 'alternative hip hop', 'instrumental stoner rock', 'lo-fi study', 'afrobeat', 'lo-fi beats', 'lo-fi sleep', 'brass band', 'classic japanese jazz', 'library music', 'fourth world', 'british jazz', 'neo-classical']","['reggaeton', 'reggaeton flow', 'spanish pop', 'bachata']"
630,kozmic blues,['Blundetto'],electro jazz,"['bachata', 'electronica', 'house', 'kizomba', 'lo-fi']",4670,971,"['electro jazz', 'downtempo', 'greek downtempo', 'bboy', 'electrofox', 'indie soul', 'uk post-punk', 'brooklyn indie', 'alternative rock', 'album rock', 'brazilian boogie', 'dutch indie', 'afropop', 'instrumental stoner rock', 'proto-metal', 'krautrock', 'british invasion', 'art rock', 'acid rock', 'afrobeat', 'anadolu rock', 'persian alternative', 'raga rock', 'bosstown sound', 'turkish psych', 'experimental', 'brass band', 'blues rock', 'classic soul', 'classic persian pop', 'british jazz', 'bossa nova', 'vintage italian soundtrack', 'israeli jazz', 'spiritual jazz', 'classic soundtrack']","['chill beats', 'glitch beats', 'ambeat', 'instrumental hip hop', 'chillhop', 'lo-fi study', 'lo-fi beats']"
631,kozmic blues,['Gábor Szabó'],spiritual jazz,['levant-jazz'],17212,680,"['spiritual jazz', 'israeli jazz', 'vintage italian soundtrack', 'bossa nova', 'british jazz', 'classic persian pop', 'classic soundtrack', 'classic soul', 'blues rock', 'brass band', 'experimental', 'turkish psych', 'bosstown sound', 'raga rock', 'persian alternative', 'anadolu rock', 'afrobeat', 'acid rock', 'art rock', 'british invasion', 'krautrock', 'proto-metal', 'instrumental stoner rock', 'afropop', 'dutch indie', 'brazilian boogie', 'album rock', 'alternative rock', 'brooklyn indie', 'uk post-punk', 'indie soul', 'downtempo', 'electro jazz', 'greek downtempo', 'bboy', 'electrofox']","['israeli jazz', 'arabic jazz', 'arab folk', 'turkish jazz', 'arabesk']"
637,kozmic blues,['Babe Ruth'],bboy,"['bachata', 'ethnotronica', 'house', 'nu-disco', 'reggaeton']",3244,1094,"['bboy', 'greek downtempo', 'electrofox', 'electro jazz', 'downtempo', 'indie soul', 'uk post-punk', 'brooklyn indie', 'alternative rock', 'album rock', 'brazilian boogie', 'dutch indie', 'afropop', 'instrumental stoner rock', 'proto-metal', 'krautrock', 'british invasion', 'art rock', 'acid rock', 'afrobeat', 'anadolu rock', 'persian alternative', 'raga rock', 'bosstown sound', 'turkish psych', 'experimental', 'brass band', 'blues rock', 'classic soul', 'classic persian pop', 'british jazz', 'bossa nova', 'vintage italian soundtrack', 'israeli jazz', 'spiritual jazz', 'classic soundtrack']","['latin hip hop', 'reggaeton', 'colombian pop', 'reggaeton flow', 'flamenco urbano']"
662,kozmic blues,['Gábor Szabó'],spiritual jazz,['levant-jazz'],17212,680,"['spiritual jazz', 'israeli jazz', 'vintage italian soundtrack', 'bossa nova', 'british jazz', 'classic persian pop', 'classic soundtrack', 'classic soul', 'blues rock', 'brass band', 'experimental', 'turkish psych', 'bosstown sound', 'raga rock', 'persian alternative', 'anadolu rock', 'afrobeat', 'acid rock', 'art rock', 'british invasion', 'krautrock', 'proto-metal', 'instrumental stoner rock', 'afropop', 'dutch indie', 'brazilian boogie', 'album rock', 'alternative rock', 'brooklyn indie', 'uk post-punk', 'indie soul', 'downtempo', 'electro jazz', 'greek downtempo', 'bboy', 'electrofox']","['israeli jazz', 'arabic jazz', 'arab folk', 'turkish jazz', 'arabesk']"
677,kozmic blues,['Poni Hoax'],electrofox,[],2265,877,"['electrofox', 'bboy', 'greek downtempo', 'electro jazz', 'downtempo', 'indie soul', 'uk post-punk', 'brooklyn indie', 'alternative rock', 'album rock', 'brazilian boogie', 'dutch indie', 'afropop', 'instrumental stoner rock', 'proto-metal', 'krautrock', 'british invasion', 'art rock', 'acid rock', 'afrobeat', 'anadolu rock', 'persian alternative', 'raga rock', 'bosstown sound', 'turkish psych', 'experimental', 'brass band', 'blues rock', 'classic soul', 'classic persian pop', 'british jazz', 'bossa nova', 'vintage italian soundtrack', 'israeli jazz', 'spiritual jazz', 'classic soundtrack']","['israeli jazz', 'arabic jazz', 'arab folk', 'turkish jazz', 'arabesk']"
715,kozmic blues,['Babe Ruth'],bboy,"['bachata', 'ethnotronica', 'house', 'nu-disco', 'reggaeton']",3244,1094,"['bboy', 'greek downtempo', 'electrofox', 'electro jazz', 'downtempo', 'indie soul', 'uk post-punk', 'brooklyn indie', 'alternative rock', 'album rock', 'brazilian boogie', 'dutch indie', 'afropop', 'instrumental stoner rock', 'proto-metal', 'krautrock', 'british invasion', 'art rock', 'acid rock', 'afrobeat', 'anadolu rock', 'persian alternative', 'raga rock', 'bosstown sound', 'turkish psych', 'experimental', 'brass band', 'blues rock', 'classic soul', 'classic persian pop', 'british jazz', 'bossa nova', 'vintage italian soundtrack', 'israeli jazz', 'spiritual jazz', 'classic soundtrack']","['latin hip hop', 'reggaeton', 'colombian pop', 'reggaeton flow', 'flamenco urbano']"
720,kozmic blues,['Gábor Szabó'],spiritual jazz,['levant-jazz'],17212,680,"['spiritual jazz', 'israeli jazz', 'vintage italian soundtrack', 'bossa nova', 'british jazz', 'classic persian pop', 'classic soundtrack', 'classic soul', 'blues rock', 'brass band', 'experimental', 'turkish psych', 'bosstown sound', 'raga rock', 'persian alternative', 'anadolu rock', 'afrobeat', 'acid rock', 'art rock', 'british invasion', 'krautrock', 'proto-metal', 'instrumental stoner rock', 'afropop', 'dutch indie', 'brazilian boogie', 'album rock', 'alternative rock', 'brooklyn indie', 'uk post-punk', 'indie soul', 'downtempo', 'electro jazz', 'greek downtempo', 'bboy', 'electrofox']","['israeli jazz', 'arabic jazz', 'arab folk', 'turkish jazz', 'arabesk']"
737,cooking with palms trax,['Kamazu'],kwaito,"['bachata', 'ethnotronica', 'house', 'nu-disco', 'reggaeton', 'zouk']",4381,1071,"['kwaito', 'italo house', 'downtempo', 'ambient techno', 'synth funk', 'belgian new wave', 'electra', 'neapolitan funk', 'funktronica', 'alternative dance', 'bmore', 'edm', 'french indie pop', 'dark post-punk', 'microhouse', 'balearic', 'filter house', 'float house', 'indie soul', 'nu disco', 'german techno', 'deep soul house', 'german house', 'disco house', 'deep house', 'uk alternative pop', 'turkish post-punk', 'deep euro house', 'dark disco', 'minimal tech house', 'organic house', 'deep disco house', 'deep minimal techno', 'afro-funk', 'funk', 'old school highlife', 'victoria bc indie', 'brazilian boogie', 'afro psych', 'rare groove', 'tanzanian pop', 'arab groove', 'classic danish pop', 'afrobeat', 'fourth world']","['zouk riddim', 'zouk', 'trap brasileiro']"
749,cooking with palms trax,['King Tutt'],bmore,"['ethnotronica', 'house', 'nu-disco']",2623,1148,"['bmore', 'funktronica', 'microhouse', 'alternative dance', 'edm', 'balearic', 'filter house', 'dark post-punk', 'float house', 'belgian new wave', 'nu disco', 'german techno', 'deep soul house', 'german house', 'disco house', 'deep house', 'deep euro house', 'kwaito', 'dark disco', 'minimal tech house', 'organic house', 'deep disco house', 'italo house', 'downtempo', 'ambient techno', 'deep minimal techno', 'synth funk', 'electra', 'neapolitan funk', 'french indie pop', 'indie soul', 'uk alternative pop', 'turkish post-punk', 'afro-funk', 'funk', 'old school highlife', 'victoria bc indie', 'brazilian boogie', 'afro psych', 'rare groove', 'tanzanian pop', 'arab groove', 'classic danish pop', 'afrobeat', 'fourth world']","['balearic', 'nu disco', 'dark disco', 'synth funk']"
750,cooking with palms trax,"['Mount Kimbie', 'Micachu', 'Palms Trax']",uk alternative pop,"['acoustic-indie', 'new-wave']",7643,650,"['uk alternative pop', 'turkish post-punk', 'indie soul', 'french indie pop', 'afro-funk', 'funk', 'neapolitan funk', 'old school highlife', 'electra', 'synth funk', 'ambient techno', 'downtempo', 'italo house', 'victoria bc indie', 'brazilian boogie', 'kwaito', 'afro psych', 'rare groove', 'arab groove', 'tanzanian pop', 'classic danish pop', 'belgian new wave', 'funktronica', 'alternative dance', 'edm', 'bmore', 'dark post-punk', 'microhouse', 'afrobeat', 'balearic', 'filter house', 'float house', 'nu disco', 'german techno', 'deep soul house', 'german house', 'disco house', 'deep house', 'deep euro house', 'dark disco', 'minimal tech house', 'organic house', 'deep disco house', 'deep minimal techno', 'fourth world']","['madchester', 'new wave', 'new romantic', 'art rock']"
751,cooking with palms trax,"['FCL', 'San Soda']",deep soul house,"['house', 'nu-disco']",1404,1221,"['deep soul house', 'nu disco', 'german techno', 'german house', 'deep house', 'disco house', 'float house', 'deep euro house', 'dark disco', 'filter house', 'minimal tech house', 'organic house', 'balearic', 'deep disco house', 'microhouse', 'deep minimal techno', 'bmore', 'funktronica', 'dark post-punk', 'edm', 'alternative dance', 'belgian new wave', 'kwaito', 'italo house', 'downtempo', 'ambient techno', 'synth funk', 'electra', 'neapolitan funk', 'french indie pop', 'indie soul', 'uk alternative pop', 'turkish post-punk', 'afro-funk', 'funk', 'old school highlife', 'victoria bc indie', 'brazilian boogie', 'afro psych', 'rare groove', 'tanzanian pop', 'arab groove', 'classic danish pop', 'afrobeat', 'fourth world']","['nu disco', 'dark disco', 'balearic', 'synth funk']"
752,cooking with palms trax,"['Bosq', 'Kuyen']",funktronica,['house'],2688,957,"['funktronica', 'alternative dance', 'edm', 'bmore', 'microhouse', 'balearic', 'dark post-punk', 'filter house', 'float house', 'belgian new wave', 'nu disco', 'german techno', 'deep soul house', 'german house', 'disco house', 'deep house', 'kwaito', 'deep euro house', 'dark disco', 'minimal tech house', 'organic house', 'deep disco house', 'italo house', 'downtempo', 'ambient techno', 'synth funk', 'deep minimal techno', 'electra', 'neapolitan funk', 'french indie pop', 'indie soul', 'uk alternative pop', 'turkish post-punk', 'afro-funk', 'funk', 'old school highlife', 'victoria bc indie', 'brazilian boogie', 'afro psych', 'rare groove', 'tanzanian pop', 'arab groove', 'classic danish pop', 'afrobeat', 'fourth world']","['float house', 'german techno', 'deep house', 'deep euro house', 'minimal tech house', 'organic house', 'deep disco house', 'electra']"
755,cooking with palms trax,"['Pat Thomas', 'Kwashibu Area Band']",old school highlife,['afrobeats'],10008,1073,"['old school highlife', 'funk', 'afro-funk', 'brazilian boogie', 'victoria bc indie', 'afro psych', 'rare groove', 'tanzanian pop', 'arab groove', 'classic danish pop', 'turkish post-punk', 'uk alternative pop', 'indie soul', 'afrobeat', 'french indie pop', 'neapolitan funk', 'electra', 'synth funk', 'ambient techno', 'downtempo', 'italo house', 'kwaito', 'fourth world', 'belgian new wave', 'funktronica', 'alternative dance', 'edm', 'bmore', 'dark post-punk', 'microhouse', 'balearic', 'filter house', 'float house', 'nu disco', 'german techno', 'deep soul house', 'german house', 'disco house', 'deep house', 'deep euro house', 'dark disco', 'minimal tech house', 'organic house', 'deep disco house', 'deep minimal techno']","['rap ivoire', 'bongo flava', 'french hip hop', 'reunion pop', 'azontobeats', 'afrobeats', 'dutch hip hop']"
758,cooking with palms trax,"[""Pete Heller's Big Love"", 'Dr Packer']",disco house,"['house', 'nu-disco']",1121,1112,"['disco house', 'deep house', 'german house', 'deep euro house', 'dark disco', 'deep soul house', 'german techno', 'nu disco', 'minimal tech house', 'organic house', 'deep disco house', 'float house', 'filter house', 'deep minimal techno', 'balearic', 'microhouse', 'dark post-punk', 'bmore', 'edm', 'funktronica', 'alternative dance', 'belgian new wave', 'kwaito', 'italo house', 'downtempo', 'ambient techno', 'synth funk', 'electra', 'neapolitan funk', 'french indie pop', 'indie soul', 'uk alternative pop', 'turkish post-punk', 'afro-funk', 'funk', 'old school highlife', 'victoria bc indie', 'brazilian boogie', 'afro psych', 'rare groove', 'tanzanian pop', 'arab groove', 'classic danish pop', 'afrobeat', 'fourth world']","['dark disco', 'nu disco', 'balearic', 'synth funk']"
759,cooking with palms trax,['The Blessed Madonna'],edm,[],2647,767,"['edm', 'alternative dance', 'funktronica', 'bmore', 'dark post-punk', 'microhouse', 'balearic', 'filter house', 'float house', 'belgian new wave', 'nu disco', 'german techno', 'deep soul house', 'german house', 'disco house', 'deep house', 'kwaito', 'deep euro house', 'dark disco', 'minimal tech house', 'organic house', 'deep disco house', 'italo house', 'downtempo', 'ambient techno', 'synth funk', 'deep minimal techno', 'electra', 'neapolitan funk', 'french indie pop', 'indie soul', 'uk alternative pop', 'turkish post-punk', 'afro-funk', 'funk', 'old school highlife', 'victoria bc indie', 'brazilian boogie', 'afro psych', 'rare groove', 'tanzanian pop', 'arab groove', 'classic danish pop', 'afrobeat', 'fourth world']","['dark disco', 'nu disco', 'balearic', 'synth funk']"
